bandit_name,method_group,set_name,trial_number,seed,symbol,mode,start_value,end_value,return_pct,max_drawdown_pct,drawdown_abs,raw_action_1_ratio,executed_action_1_ratio,executed_action_1,raw_action_1,n_decisions,trade_events,turnover,threshold_applied_ratio,constraint_applied_ratio,abs_edge_mean,abs_edge_p50,uncertainty_0_mean,uncertainty_1_mean,n_reward_updates,mean_reward_update,std_reward_update,reward_abs_p95,trades,win_rate,mean_trade_pnl,median_trade_pnl,total_trade_pnl,profit_factor,source_mode,period_start_idx,period_end_idx_exclusive,period_start_timestamp,period_end_timestamp
discounted_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,BTCUSDT,train,100.0,84.95888012385487,-15.041119876145137,-16.469701624289513,16.469701624289513,0.431389975115535,0.5207963028794881,2930,2427,5626,849,0.15090650551013154,0.0902950586562389,0.15019552079630288,0.019108606972348785,0.014506213234636604,0.29362159251833353,0.3430084686761955,5616,-0.0015507276104208905,0.02726923381210352,0.056754248015172516,424,0.3443396226415094,-0.004271289715841025,-0.005664525666286516,-1.8110268395165943,0.6479481146837676,,,,,
discounted_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,BTCUSDT,val,99.9500625,95.12778258901531,-4.824689240174007,-5.884418780866052,5.884418780866052,0.451,0.529,1058,902,2000,249,0.1245,0.1055,0.0945,0.01529037798458026,0.01223170634181258,0.27417952414467767,0.2753409924249341,1990,-0.0014562410871461309,0.024558410519158004,0.05071760277615364,124,0.4274193548387097,-0.004312968253652114,-0.003967327176620422,-0.5348080634528621,0.6791201926549248,,,,,
discounted_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,BTCUSDT,val_first,99.9500625,96.56972283370276,-3.3820285668128003,-5.033241037213642,5.033241037213642,0.44,0.516,516,440,1000,116,0.116,0.113,0.089,0.01574034515990233,0.01244823383418377,0.2724730581119255,0.28413056468613196,990,-0.0007745776430439754,0.025206364942511626,0.052360254180042594,58,0.3620689655172414,-0.006616048566970984,-0.00914751060834337,-0.3837308168843171,0.5952980137661951,val,0.0,1000.0,2024-07-01 00:00:00+00:00,2024-12-14 12:00:00+00:00
discounted_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,BTCUSDT,val_second,96.52149832836267,95.12778258901531,-1.4439433322988693,-4.56674346509015,4.56674346509015,0.462,0.542,542,462,1000,133,0.133,0.098,0.1,0.014840410809258192,0.012051862281829494,0.2758859901774299,0.26655142016373623,1000,-0.0021310878968072654,0.023893102832325833,0.0499786668964835,66,0.48484848484848486,-0.002289049190432498,-0.0012966213059275968,-0.15107724656854488,0.7897358256937715,val,1000.0,2000.0,2024-12-14 16:00:00+00:00,2025-05-30 04:00:00+00:00
discounted_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,DOGEUSDT,train,99.9500625,88.1191510545214,-11.836822458693918,-15.592389470446532,15.592389470446532,0.3970849626733025,0.4984002843938855,2804,2234,5626,868,0.15428368290081762,0.08176324209029506,0.16139353003910417,0.022334403376793793,0.01614047226261947,0.29062469965290444,0.34247245775862956,5616,-0.002808766273868314,0.04247477373518865,0.08672421937621078,434,0.423963133640553,-0.0038459300823658724,-0.003994856137708896,-1.6691336557467886,0.760352379289679,,,,,
discounted_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,DOGEUSDT,val,100.0,103.435245346666,3.435245346665994,-9.335100373810967,9.335100373810967,0.3665,0.473,946,733,2000,275,0.1375,0.066,0.1455,0.025875834839703033,0.02143042661390345,0.24844233402642965,0.3082077228446009,1990,0.0003172287236496295,0.052677321363987444,0.11725155811894986,137,0.46715328467153283,0.0010256873083367526,-0.0021676175294939957,0.1405191612421351,1.055447207608393,,,,,
discounted_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,DOGEUSDT,val_first,100.0,104.3994571411414,4.399457141141405,-2.635520583816253,2.635520583816253,0.4,0.511,511,400,1000,138,0.138,0.067,0.16,0.025964750255633665,0.02128845328820906,0.2491166500210399,0.31579076104219655,990,-0.0011946194750948613,0.055877072491454086,0.1279725310183813,69,0.4782608695652174,0.004771862129570455,-0.0021676175294939957,0.3292584869403614,1.2944679220771664,val,0.0,1000.0,2024-07-01 00:00:00+00:00,2024-12-14 12:00:00+00:00
discounted_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,DOGEUSDT,val_second,104.3994571411414,103.435245346666,-0.9235793182064689,-7.004900067466968,7.004900067466968,0.333,0.435,435,333,1000,137,0.137,0.065,0.131,0.025786919423772398,0.021596857683042793,0.24776801803181944,0.3006246846470052,1000,0.0018139584404066752,0.04928793190731609,0.10992502297550075,68,0.45588235294117646,-0.002775578319091566,-0.0020836693530288243,-0.1887393256982265,0.8667227130846373,val,1000.0,2000.0,2024-12-14 16:00:00+00:00,2025-05-30 04:00:00+00:00
discounted_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,ETHUSDT,train,100.0,75.30428421030614,-24.69571578969386,-24.891614250574857,24.891614250574857,0.4020618556701031,0.49964450764308566,2811,2262,5626,874,0.15535015997156063,0.08993956629932456,0.1491290437255599,0.020921395440890892,0.01532148506121319,0.287293811575128,0.3374053098335228,5616,-0.001909915844827068,0.03418994003060351,0.07305632610058027,437,0.39359267734553777,-0.007103330239150322,-0.004077013455999409,-3.1041553145086906,0.5413811221384867,,,,,
discounted_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,ETHUSDT,val,100.0,96.19493135942028,-3.805068640579723,-6.7849146790793675,6.7849146790793675,0.3695,0.4665,933,739,2000,328,0.164,0.08,0.174,0.01874579755466697,0.01500360473198763,0.2447923351960488,0.3126625351398935,1990,-0.0019252981954481834,0.035012834725877094,0.0727361338145004,164,0.47560975609756095,-0.00293755432412709,-0.0018882798257468583,-0.4817589091568427,0.7934468038905664,,,,,
