number,value,params_lambda_prior,params_one_minus_gamma,params_ucb_alpha,user_attrs_all_symbols_active_share,user_attrs_all_symbols_have_long_share,user_attrs_calmar_drawdown_floor_abs,user_attrs_calmar_drawdown_floor_applied,user_attrs_calmar_like,user_attrs_constraint_drawdown_ok,user_attrs_constraint_finite_objective_return_ok,user_attrs_constraint_max_trades_ok,user_attrs_constraint_min_trades_ok,user_attrs_constraint_profit_factor_ok,user_attrs_constraint_symbols_active_ok,user_attrs_constraint_symbols_have_long_ok,user_attrs_constraint_value_all_symbols_active,user_attrs_constraint_value_all_symbols_have_long,user_attrs_constraint_value_drawdown,user_attrs_constraint_value_finite_objective_return,user_attrs_constraint_value_max_trades,user_attrs_constraint_value_min_trades,user_attrs_constraint_value_profit_factor,user_attrs_constraints_values,user_attrs_diagnostic_mean_of_seed_mean_return_pct,user_attrs_diagnostic_median_mean_turnover,user_attrs_effective_drawdown_abs_for_calmar,user_attrs_invalid_score,user_attrs_max_drawdown_abs,user_attrs_max_seed_median_return_pct,user_attrs_max_total_trades,user_attrs_mean_of_seed_mean_return_pct,user_attrs_mean_of_seed_median_return_pct,user_attrs_mean_seed_half_return_gap_pct,user_attrs_mean_seed_max_half_median_return_pct,user_attrs_mean_seed_min_half_median_return_pct,user_attrs_mean_seed_second_minus_first_half_median_return_pct,user_attrs_mean_seed_val_first_max_drawdown_abs,user_attrs_mean_seed_val_first_mean_constraint_applied_ratio,user_attrs_mean_seed_val_first_mean_executed_action_1_ratio,user_attrs_mean_seed_val_first_mean_return_pct,user_attrs_mean_seed_val_first_mean_threshold_applied_ratio,user_attrs_mean_seed_val_first_mean_turnover,user_attrs_mean_seed_val_first_median_profit_factor,user_attrs_mean_seed_val_first_median_return_pct,user_attrs_mean_seed_val_first_positive_return_symbols,user_attrs_mean_seed_val_first_total_trade_events,user_attrs_mean_seed_val_first_total_trades,user_attrs_mean_seed_val_second_max_drawdown_abs,user_attrs_mean_seed_val_second_mean_constraint_applied_ratio,user_attrs_mean_seed_val_second_mean_executed_action_1_ratio,user_attrs_mean_seed_val_second_mean_return_pct,user_attrs_mean_seed_val_second_mean_threshold_applied_ratio,user_attrs_mean_seed_val_second_mean_turnover,user_attrs_mean_seed_val_second_median_profit_factor,user_attrs_mean_seed_val_second_median_return_pct,user_attrs_mean_seed_val_second_positive_return_symbols,user_attrs_mean_seed_val_second_total_trade_events,user_attrs_mean_seed_val_second_total_trades,user_attrs_median_active_symbols,user_attrs_median_long_action_symbols,user_attrs_median_max_drawdown_abs,user_attrs_median_mean_turnover,user_attrs_median_of_seed_mean_return_pct,user_attrs_median_of_seed_median_return_pct,user_attrs_median_positive_return_symbols,user_attrs_median_profit_factor,user_attrs_median_seed_half_return_gap_pct,user_attrs_median_seed_max_half_median_return_pct,user_attrs_median_seed_min_half_median_return_pct,user_attrs_median_seed_second_minus_first_half_median_return_pct,user_attrs_median_seed_val_first_max_drawdown_abs,user_attrs_median_seed_val_first_mean_constraint_applied_ratio,user_attrs_median_seed_val_first_mean_executed_action_1_ratio,user_attrs_median_seed_val_first_mean_return_pct,user_attrs_median_seed_val_first_mean_threshold_applied_ratio,user_attrs_median_seed_val_first_mean_turnover,user_attrs_median_seed_val_first_median_profit_factor,user_attrs_median_seed_val_first_median_return_pct,user_attrs_median_seed_val_first_positive_return_symbols,user_attrs_median_seed_val_first_total_trade_events,user_attrs_median_seed_val_first_total_trades,user_attrs_median_seed_val_second_max_drawdown_abs,user_attrs_median_seed_val_second_mean_constraint_applied_ratio,user_attrs_median_seed_val_second_mean_executed_action_1_ratio,user_attrs_median_seed_val_second_mean_return_pct,user_attrs_median_seed_val_second_mean_threshold_applied_ratio,user_attrs_median_seed_val_second_mean_turnover,user_attrs_median_seed_val_second_median_profit_factor,user_attrs_median_seed_val_second_median_return_pct,user_attrs_median_seed_val_second_positive_return_symbols,user_attrs_median_seed_val_second_total_trade_events,user_attrs_median_seed_val_second_total_trades,user_attrs_median_total_trade_events,user_attrs_median_total_trades,user_attrs_memory_horizon,user_attrs_memory_horizon_bars,user_attrs_min_profit_factor,user_attrs_min_seed_median_return_pct,user_attrs_min_total_trades,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_all_symbols_active_share,user_attrs_observed_all_symbols_have_long_share,user_attrs_observed_mean_of_seed_mean_return_pct,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_of_seed_median_return_pct,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_optuna_constraints_convention,user_attrs_required_all_symbols_active_share,user_attrs_required_all_symbols_have_long_share,user_attrs_seeds_used,user_attrs_std_of_seed_median_return_pct,user_attrs_valid,state
0,1.041794339938118,1.0,0.003076923076923077,0.1,1.0,1.0,1.0,False,0.07441735212652131,True,True,True,True,True,True,True,0.0,0.0,-1.0006529368728128,0.0,-159.0,-391.0,-0.29963863520026923,"[-1.0006529368728128, -0.29963863520026923, -391.0, -159.0, 0.0, 0.0, 0.0]",0.6704639125940262,0.09869999999999998,13.999347063127187,-1000000.0,15.0,1.041794339938118,650.0,0.6704639125940262,1.041794339938118,3.1771290907252503,1.312575612130451,-1.8645534785947993,-3.1771290907252503,5.222529607451786,0.0596,0.5094000000000001,4.009905670270291,0.1026,0.08099999999999999,1.1676742324503828,1.312575612130451,3.0,405.0,201.0,12.122315602149003,0.1166,0.46080000000000004,-3.2942307984315145,0.09519999999999999,0.11639999999999999,0.7030434392487491,-1.8645534785947993,0.0,582.0,290.0,5.0,5.0,13.999347063127187,0.09869999999999998,0.6704639125940262,1.041794339938118,3.0,1.1496386352002692,3.1771290907252503,1.312575612130451,-1.8645534785947993,-3.1771290907252503,5.222529607451786,0.0596,0.5094000000000001,4.009905670270291,0.1026,0.08099999999999999,1.1676742324503828,1.312575612130451,3.0,405.0,201.0,12.122315602149003,0.1166,0.46080000000000004,-3.2942307984315145,0.09519999999999999,0.11639999999999999,0.7030434392487491,-1.8645534785947993,0.0,582.0,290.0,987.0,491.0,325.0,324.9999999999988,0.85,1.041794339938118,100.0,1,median_of_seed_median_return_pct,1.041794339938118,1.0,1.0,0.6704639125940262,13.999347063127187,1.041794339938118,1.1496386352002692,491.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
1,0.527692176239758,0.612230135615808,0.0036898045885512985,0.1841021691579566,1.0,1.0,1.0,False,0.04220450803654936,True,True,True,True,True,True,True,0.0,0.0,-2.4967817233463947,0.0,-144.0,-406.0,-0.13600412051866495,"[-2.4967817233463947, -0.13600412051866495, -406.0, -144.0, 0.0, 0.0, 0.0]",-0.19718811235338585,0.10169999999999998,12.503218276653605,-1000000.0,15.0,0.527692176239758,650.0,-0.19718811235338585,0.527692176239758,4.8993575743971345,2.7253364211180298,-2.1740211532791043,-4.8993575743971345,4.605909242983108,0.0638,0.5192,3.815573025472723,0.1022,0.082,1.543417396418533,2.7253364211180298,3.0,410.0,204.0,10.383591819450444,0.11740000000000002,0.4806,-3.9228722296788066,0.0972,0.1214,0.7343322525512541,-2.1740211532791043,0.0,607.0,302.0,5.0,5.0,12.503218276653605,0.10169999999999998,-0.19718811235338585,0.527692176239758,3.0,0.9860041205186649,4.8993575743971345,2.7253364211180298,-2.1740211532791043,-4.8993575743971345,4.605909242983108,0.0638,0.5192,3.815573025472723,0.1022,0.082,1.543417396418533,2.7253364211180298,3.0,410.0,204.0,10.383591819450444,0.11740000000000002,0.4806,-3.9228722296788066,0.0972,0.1214,0.7343322525512541,-2.1740211532791043,0.0,607.0,302.0,1017.0,506.0,271.01706228638596,271.01706228638716,0.85,0.527692176239758,100.0,1,median_of_seed_median_return_pct,0.527692176239758,1.0,1.0,-0.19718811235338585,12.503218276653605,0.527692176239758,0.9860041205186649,506.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
2,0.8276758949708363,0.5005067708426926,0.002563455961174097,0.1932585081149179,1.0,1.0,1.0,False,0.09603310985809714,True,True,True,True,True,True,True,0.0,0.0,-6.381348618264601,0.0,-162.0,-388.0,-0.2523272035858969,"[-6.381348618264601, -0.2523272035858969, -388.0, -162.0, 0.0, 0.0, 0.0]",2.760558154794719,0.09809999999999999,8.618651381735399,-1000000.0,15.0,0.8276758949708363,650.0,2.760558154794719,0.8276758949708363,3.5333447627428405,2.2105293426620376,-1.3228154200808029,-3.5333447627428405,4.813718740273531,0.06080000000000001,0.5228,5.162047835771772,0.1328,0.0834,1.3799729473293054,2.2105293426620376,4.0,417.0,207.0,8.618651381735399,0.11640000000000002,0.4702,-2.2575930092332674,0.10499999999999998,0.11279999999999998,0.8980081613752979,-1.3228154200808029,1.0,564.0,281.0,5.0,5.0,8.618651381735399,0.09809999999999999,2.760558154794719,0.8276758949708363,3.0,1.1023272035858969,3.5333447627428405,2.2105293426620376,-1.3228154200808029,-3.5333447627428405,4.813718740273531,0.06080000000000001,0.5228,5.162047835771772,0.1328,0.0834,1.3799729473293054,2.2105293426620376,4.0,417.0,207.0,8.618651381735399,0.11640000000000002,0.4702,-2.2575930092332674,0.10499999999999998,0.11279999999999998,0.8980081613752979,-1.3228154200808029,1.0,564.0,281.0,981.0,488.0,390.0983731126735,390.0983731126681,0.85,0.8276758949708363,100.0,1,median_of_seed_median_return_pct,0.8276758949708363,1.0,1.0,2.760558154794719,8.618651381735399,0.8276758949708363,1.1023272035858969,488.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
3,3.8821305414335816,6.8819115006635805,0.0034816054642116826,0.20959886624134833,1.0,1.0,1.0,False,0.40371820203199926,True,True,True,True,True,True,True,0.0,0.0,-5.384058677825285,0.0,-156.0,-394.0,-0.2244174719700679,"[-5.384058677825285, -0.2244174719700679, -394.0, -156.0, 0.0, 0.0, 0.0]",2.6930764487604453,0.0993,9.615941322174715,-1000000.0,15.0,3.8821305414335816,650.0,2.6930764487604453,3.8821305414335816,4.607749912062076,3.004275873335227,-1.6034740387268487,-4.607749912062076,5.211400415445944,0.04920000000000001,0.5292,5.2934748785927015,0.1238,0.0798,1.5314977751670231,3.004275873335227,4.0,399.0,198.0,9.117012794439006,0.11339999999999999,0.47440000000000004,-2.4713214693215706,0.1172,0.11879999999999999,0.7829997625270735,-1.6034740387268487,1.0,594.0,296.0,5.0,5.0,9.615941322174715,0.0993,2.6930764487604453,3.8821305414335816,3.0,1.0744174719700679,4.607749912062076,3.004275873335227,-1.6034740387268487,-4.607749912062076,5.211400415445944,0.04920000000000001,0.5292,5.2934748785927015,0.1238,0.0798,1.5314977751670231,3.004275873335227,4.0,399.0,198.0,9.117012794439006,0.11339999999999999,0.47440000000000004,-2.4713214693215706,0.1172,0.11879999999999999,0.7829997625270735,-1.6034740387268487,1.0,594.0,296.0,993.0,494.0,287.22381392126624,287.22381392126283,0.85,3.8821305414335816,100.0,1,median_of_seed_median_return_pct,3.8821305414335816,1.0,1.0,2.6930764487604453,9.615941322174715,3.8821305414335816,1.0744174719700679,494.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
4,2.5838086310607578,0.5554454482640988,0.00388558168204281,0.07204374128168337,1.0,1.0,1.0,False,0.22858050192835938,True,True,True,True,True,True,True,0.0,0.0,-3.6962859506251196,0.0,-144.0,-406.0,-0.1725849454373759,"[-3.6962859506251196, -0.1725849454373759, -406.0, -144.0, 0.0, 0.0, 0.0]",0.01151843382921811,0.10169999999999998,11.30371404937488,-1000000.0,15.0,2.5838086310607578,650.0,0.01151843382921811,2.5838086310607578,7.417919242976168,3.50789381178358,-3.9100254311925875,-7.417919242976168,4.415137549869308,0.0702,0.4814,4.258291583858967,0.08499999999999999,0.0852,1.5042175715189643,3.50789381178358,3.0,426.0,212.0,9.420365079706416,0.11840000000000002,0.45840000000000003,-4.095553281653743,0.08099999999999999,0.1182,0.6154421612750125,-3.9100254311925875,0.0,591.0,294.0,5.0,5.0,11.30371404937488,0.10169999999999998,0.01151843382921811,2.5838086310607578,3.0,1.0225849454373759,7.417919242976168,3.50789381178358,-3.9100254311925875,-7.417919242976168,4.415137549869308,0.0702,0.4814,4.258291583858967,0.08499999999999999,0.0852,1.5042175715189643,3.50789381178358,3.0,426.0,212.0,9.420365079706416,0.11840000000000002,0.45840000000000003,-4.095553281653743,0.08099999999999999,0.1182,0.6154421612750125,-3.9100254311925875,0.0,591.0,294.0,1017.0,506.0,257.36172388847035,257.3617238884722,0.85,2.5838086310607578,100.0,1,median_of_seed_median_return_pct,2.5838086310607578,1.0,1.0,0.01151843382921811,11.30371404937488,2.5838086310607578,1.0225849454373759,506.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
5,2.906946359871032,1.405328682990182,0.003863634956952199,0.2815279783149154,1.0,1.0,1.0,False,0.2401625949384995,True,True,True,True,True,True,True,0.0,0.0,-2.8959237569221017,0.0,-98.0,-452.0,-0.2987699240289313,"[-2.8959237569221017, -0.2987699240289313, -452.0, -98.0, 0.0, 0.0, 0.0]",0.8458737675816087,0.1109,12.104076243077898,-1000000.0,15.0,2.906946359871032,650.0,0.8458737675816087,2.906946359871032,7.073418185928548,4.04403515091083,-3.0293830350177187,-7.073418185928548,4.680739086185282,0.0688,0.5292,4.772053815211586,0.11739999999999999,0.0912,1.3980500840872456,4.04403515091083,3.0,456.0,227.0,11.047254747025082,0.1394,0.5048,-3.8006709080659524,0.10300000000000001,0.1306,0.6733241186699552,-3.0293830350177187,1.0,653.0,325.0,5.0,5.0,12.104076243077898,0.1109,0.8458737675816087,2.906946359871032,3.0,1.1487699240289313,7.073418185928548,4.04403515091083,-3.0293830350177187,-7.073418185928548,4.680739086185282,0.0688,0.5292,4.772053815211586,0.11739999999999999,0.0912,1.3980500840872456,4.04403515091083,3.0,456.0,227.0,11.047254747025082,0.1394,0.5048,-3.8006709080659524,0.10300000000000001,0.1306,0.6733241186699552,-3.0293830350177187,1.0,653.0,325.0,1109.0,552.0,258.8236236450358,258.8236236450365,0.85,2.906946359871032,100.0,1,median_of_seed_median_return_pct,2.906946359871032,1.0,1.0,0.8458737675816087,12.104076243077898,2.906946359871032,1.1487699240289313,552.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
6,-0.7648226099035593,2.5760984682298647,0.0035952388489947696,0.23782429760837678,1.0,1.0,1.0,False,-0.0765719370676168,True,True,True,True,True,True,True,0.0,0.0,-5.011711350227653,0.0,-137.0,-413.0,-0.07953314138737666,"[-5.011711350227653, -0.07953314138737666, -413.0, -137.0, 0.0, 0.0, 0.0]",1.8731951411732364,0.1031,9.988288649772347,-1000000.0,15.0,-0.7648226099035593,650.0,1.8731951411732364,-0.7648226099035593,4.746746254526735,2.018496635696332,-2.728249618830403,-4.746746254526735,5.321264915288692,0.06,0.5288,5.0930304176547185,0.12179999999999999,0.0868,1.435435015891637,2.018496635696332,4.0,434.0,216.0,9.217675837473017,0.11059999999999999,0.4906,-3.149890306728018,0.11579999999999999,0.11939999999999999,0.7009234363034883,-2.728249618830403,0.0,597.0,297.0,5.0,5.0,9.988288649772347,0.1031,1.8731951411732364,-0.7648226099035593,2.0,0.9295331413873766,4.746746254526735,2.018496635696332,-2.728249618830403,-4.746746254526735,5.321264915288692,0.06,0.5288,5.0930304176547185,0.12179999999999999,0.0868,1.435435015891637,2.018496635696332,4.0,434.0,216.0,9.217675837473017,0.11059999999999999,0.4906,-3.149890306728018,0.11579999999999999,0.11939999999999999,0.7009234363034883,-2.728249618830403,0.0,597.0,297.0,1031.0,513.0,278.14563704984454,278.1456370498407,0.85,-0.7648226099035593,100.0,1,median_of_seed_median_return_pct,-0.7648226099035593,1.0,1.0,1.8731951411732364,9.988288649772347,-0.7648226099035593,0.9295331413873766,513.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
7,1.2092232831212524,0.79317899451327,0.0030112734778207323,0.15352522514476788,1.0,1.0,1.0,False,0.10359281013057746,True,True,True,True,True,True,True,0.0,0.0,-3.3271504885615,0.0,-147.0,-403.0,-0.31037637482677394,"[-3.3271504885615, -0.31037637482677394, -403.0, -147.0, 0.0, 0.0, 0.0]",1.5352389091518106,0.1011,11.6728495114385,-1000000.0,15.0,1.2092232831212524,650.0,1.5352389091518106,1.2092232831212524,5.018044475384609,2.1526530696173163,-2.8653914057672925,-5.018044475384609,4.4544079371744205,0.060399999999999995,0.5042,5.183178359331995,0.11159999999999999,0.08299999999999999,1.4227166413264345,2.1526530696173163,3.0,415.0,206.0,11.350654446988573,0.122,0.48200000000000004,-3.497430781591613,0.0996,0.1192,0.7402678480014664,-2.8653914057672925,0.0,596.0,297.0,5.0,5.0,11.6728495114385,0.1011,1.5352389091518106,1.2092232831212524,3.0,1.160376374826774,5.018044475384609,2.1526530696173163,-2.8653914057672925,-5.018044475384609,4.4544079371744205,0.060399999999999995,0.5042,5.183178359331995,0.11159999999999999,0.08299999999999999,1.4227166413264345,2.1526530696173163,3.0,415.0,206.0,11.350654446988573,0.122,0.48200000000000004,-3.497430781591613,0.0996,0.1192,0.7402678480014664,-2.8653914057672925,0.0,596.0,297.0,1011.0,503.0,332.08541414966504,332.08541414966766,0.85,1.2092232831212524,100.0,1,median_of_seed_median_return_pct,1.2092232831212524,1.0,1.0,1.5352389091518106,11.6728495114385,1.2092232831212524,1.160376374826774,503.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
8,1.5664392621742795,3.4614584571772786,0.0028762216995794057,0.03540412798638139,1.0,1.0,1.0,False,0.1567492364826004,True,True,True,True,True,True,True,0.0,0.0,-5.006718390949491,0.0,-222.0,-328.0,-0.464993301954124,"[-5.006718390949491, -0.464993301954124, -328.0, -222.0, 0.0, 0.0, 0.0]",4.94598774804315,0.0861,9.99328160905051,-1000000.0,15.0,1.5664392621742795,650.0,4.94598774804315,1.5664392621742795,2.9365527420703086,2.0094188529967916,-0.927133889073517,-2.9365527420703086,4.1097853736707375,0.046200000000000005,0.4992,6.893623245349718,0.1048,0.0722,1.4585130935804071,2.0094188529967916,5.0,361.0,179.0,9.792100352492595,0.08859999999999998,0.43479999999999996,-1.9182926087920271,0.10400000000000001,0.1,0.9295492633924839,-0.927133889073517,1.0,500.0,249.0,5.0,5.0,9.99328160905051,0.0861,4.94598774804315,1.5664392621742795,4.0,1.314993301954124,2.9365527420703086,2.0094188529967916,-0.927133889073517,-2.9365527420703086,4.1097853736707375,0.046200000000000005,0.4992,6.893623245349718,0.1048,0.0722,1.4585130935804071,2.0094188529967916,5.0,361.0,179.0,9.792100352492595,0.08859999999999998,0.43479999999999996,-1.9182926087920271,0.10400000000000001,0.1,0.9295492633924839,-0.927133889073517,1.0,500.0,249.0,861.0,428.0,347.6783448738432,347.67834487384977,0.85,1.5664392621742795,100.0,1,median_of_seed_median_return_pct,1.5664392621742795,1.0,1.0,4.94598774804315,9.99328160905051,1.5664392621742795,1.314993301954124,428.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
9,0.7902306055755703,1.5878414490220365,0.0026892165823509005,0.1368026505584583,1.0,1.0,1.0,False,0.08216947282987434,True,True,True,True,True,True,True,0.0,0.0,-5.3829174222441125,0.0,-170.0,-380.0,-0.25817149444898757,"[-5.3829174222441125, -0.25817149444898757, -380.0, -170.0, 0.0, 0.0, 0.0]",2.565248706951267,0.09649999999999999,9.617082577755887,-1000000.0,15.0,0.7902306055755703,650.0,2.565248706951267,0.7902306055755703,4.937868065483453,1.858764422916237,-3.079103642567216,-4.937868065483453,4.8868249223183895,0.05740000000000001,0.5128,5.045227252248896,0.1236,0.0802,1.3104217110177117,1.858764422916237,4.0,401.0,199.0,9.617082577755887,0.1062,0.45919999999999994,-2.3659509066201423,0.1112,0.11279999999999998,0.6802790257545512,-3.079103642567216,1.0,564.0,281.0,5.0,5.0,9.617082577755887,0.09649999999999999,2.565248706951267,0.7902306055755703,3.0,1.1081714944489875,4.937868065483453,1.858764422916237,-3.079103642567216,-4.937868065483453,4.8868249223183895,0.05740000000000001,0.5128,5.045227252248896,0.1236,0.0802,1.3104217110177117,1.858764422916237,4.0,401.0,199.0,9.617082577755887,0.1062,0.45919999999999994,-2.3659509066201423,0.1112,0.11279999999999998,0.6802790257545512,-3.079103642567216,1.0,564.0,281.0,965.0,480.0,371.85550861277403,371.8555086127763,0.85,0.7902306055755703,100.0,1,median_of_seed_median_return_pct,0.7902306055755703,1.0,1.0,2.565248706951267,9.617082577755887,0.7902306055755703,1.1081714944489875,480.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
10,2.783074016019804,8.809711308443557,0.0030315575012506185,0.16389490653026312,1.0,1.0,1.0,False,0.2820200260505703,True,True,True,True,True,True,True,0.0,0.0,-5.131644000625833,0.0,-180.0,-370.0,-0.5098677418212759,"[-5.131644000625833, -0.5098677418212759, -370.0, -180.0, 0.0, 0.0, 0.0]",3.9744987356376695,0.09449999999999999,9.868355999374167,-1000000.0,15.0,2.783074016019804,650.0,3.9744987356376695,2.783074016019804,5.625763318787902,4.313231927336014,-1.3125313914518877,-5.625763318787902,5.19676357685217,0.0422,0.5231999999999999,6.001768625263762,0.12840000000000001,0.0754,1.5817902961866543,4.313231927336014,4.0,377.0,187.0,8.87174482950166,0.1006,0.46180000000000004,-1.968485667236142,0.1226,0.11359999999999999,0.8262658987237744,-1.3125313914518877,1.0,568.0,283.0,5.0,5.0,9.868355999374167,0.09449999999999999,3.9744987356376695,2.783074016019804,3.0,1.359867741821276,5.625763318787902,4.313231927336014,-1.3125313914518877,-5.625763318787902,5.19676357685217,0.0422,0.5231999999999999,6.001768625263762,0.12840000000000001,0.0754,1.5817902961866543,4.313231927336014,4.0,377.0,187.0,8.87174482950166,0.1006,0.46180000000000004,-1.968485667236142,0.1226,0.11359999999999999,0.8262658987237744,-1.3125313914518877,1.0,568.0,283.0,945.0,470.0,329.86344464436735,329.86344464436775,0.85,2.783074016019804,100.0,1,median_of_seed_median_return_pct,2.783074016019804,1.0,1.0,3.9744987356376695,9.868355999374167,2.783074016019804,1.359867741821276,470.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
11,-1.1031160620018854,8.201972431288365,0.003997473150817109,0.15785193946525838,1.0,1.0,1.0,False,-0.10900457949806595,True,True,True,True,True,True,True,0.0,0.0,-4.880094331069294,0.0,-160.0,-390.0,-0.03681508836695391,"[-4.880094331069294, -0.03681508836695391, -390.0, -160.0, 0.0, 0.0, 0.0]",1.1938298887002243,0.0985,10.119905668930706,-1000000.0,15.0,-1.1031160620018854,650.0,1.1938298887002243,-1.1031160620018854,6.298621587088049,1.7620483038050638,-4.536573283282985,-6.298621587088049,5.187627487992453,0.0476,0.5189999999999999,4.912162308230859,0.1226,0.08199999999999999,1.363456941100224,1.7620483038050638,4.0,410.0,204.0,8.175446911287398,0.10819999999999999,0.476,-3.6027521952952837,0.10639999999999998,0.11499999999999999,0.6306008416072586,-4.536573283282985,0.0,575.0,286.0,5.0,5.0,10.119905668930706,0.0985,1.1938298887002243,-1.1031160620018854,2.0,0.8868150883669539,6.298621587088049,1.7620483038050638,-4.536573283282985,-6.298621587088049,5.187627487992453,0.0476,0.5189999999999999,4.912162308230859,0.1226,0.08199999999999999,1.363456941100224,1.7620483038050638,4.0,410.0,204.0,8.175446911287398,0.10819999999999999,0.476,-3.6027521952952837,0.10639999999999998,0.11499999999999999,0.6306008416072586,-4.536573283282985,0.0,575.0,286.0,985.0,490.0,250.1580279020995,250.15802790209943,0.85,-1.1031160620018854,100.0,1,median_of_seed_median_return_pct,-1.1031160620018854,1.0,1.0,1.1938298887002243,10.119905668930706,-1.1031160620018854,0.8868150883669539,490.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
12,0.8411721151166951,7.058669048013463,0.003293760811706499,0.2992699695078708,1.0,1.0,1.0,False,0.08901784178530958,True,True,True,True,True,True,True,0.0,0.0,-5.5505222520963,0.0,-138.0,-412.0,-0.23860654993679564,"[-5.5505222520963, -0.23860654993679564, -412.0, -138.0, 0.0, 0.0, 0.0]",1.7568279016481523,0.10289999999999999,9.4494777479037,-1000000.0,15.0,0.8411721151166951,650.0,1.7568279016481523,0.8411721151166951,5.252240839421574,3.095440455997145,-2.1568003834244287,-5.252240839421574,4.812679633452522,0.0504,0.5316,5.225979619661956,0.13540000000000002,0.0838,1.5495672660467965,3.095440455997145,4.0,419.0,208.0,9.4494777479037,0.11639999999999999,0.485,-3.382377650480257,0.1328,0.122,0.7056861114092591,-2.1568003834244287,0.0,610.0,304.0,5.0,5.0,9.4494777479037,0.10289999999999999,1.7568279016481523,0.8411721151166951,3.0,1.0886065499367956,5.252240839421574,3.095440455997145,-2.1568003834244287,-5.252240839421574,4.812679633452522,0.0504,0.5316,5.225979619661956,0.13540000000000002,0.0838,1.5495672660467965,3.095440455997145,4.0,419.0,208.0,9.4494777479037,0.11639999999999999,0.485,-3.382377650480257,0.1328,0.122,0.7056861114092591,-2.1568003834244287,0.0,610.0,304.0,1029.0,512.0,303.60431651437966,303.60431651437824,0.85,0.8411721151166951,100.0,1,median_of_seed_median_return_pct,0.8411721151166951,1.0,1.0,1.7568279016481523,9.4494777479037,0.8411721151166951,1.0886065499367956,512.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
13,1.2958199397022696,2.6515307638073407,0.0034820891069668033,0.0944909714614884,1.0,1.0,1.0,False,0.10599404416226448,True,True,True,True,True,True,True,0.0,0.0,-2.774596677163096,0.0,-151.0,-399.0,-0.3237978143832402,"[-2.774596677163096, -0.3237978143832402, -399.0, -151.0, 0.0, 0.0, 0.0]",2.683017418757838,0.10029999999999999,12.225403322836904,-1000000.0,15.0,1.2958199397022696,650.0,2.683017418757838,1.2958199397022696,3.303268512729385,1.756177588816188,-1.547090923913197,-3.303268512729385,4.759148644105227,0.07279999999999999,0.5078,5.859100255984375,0.1042,0.0884,1.3378206432992277,1.756177588816188,4.0,442.0,220.0,9.867876668863518,0.1082,0.45359999999999995,-3.100216047110753,0.09040000000000001,0.1122,0.8689434718315593,-1.547090923913197,0.0,561.0,279.0,5.0,5.0,12.225403322836904,0.10029999999999999,2.683017418757838,1.2958199397022696,3.0,1.1737978143832402,3.303268512729385,1.756177588816188,-1.547090923913197,-3.303268512729385,4.759148644105227,0.07279999999999999,0.5078,5.859100255984375,0.1042,0.0884,1.3378206432992277,1.756177588816188,4.0,442.0,220.0,9.867876668863518,0.1082,0.45359999999999995,-3.100216047110753,0.09040000000000001,0.1122,0.8689434718315593,-1.547090923913197,0.0,561.0,279.0,1003.0,499.0,287.18392013554336,287.18392013554444,0.85,1.2958199397022696,100.0,1,median_of_seed_median_return_pct,1.2958199397022696,1.0,1.0,2.683017418757838,12.225403322836904,1.2958199397022696,1.1737978143832402,499.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
